,timestamp,highest_layer,length,dest_ip,dest_port
165,1521394922.814667,HTTP,776,172.17.0.2,8080
166,1521394922.814669,HTTP,793,172.17.0.2,8080
167,1521394922.814672,HTTP,777,172.17.0.2,8080
168,1521394922.814847,TCP,58,10.0.2.2,55972
169,1521394922.814935,TCP,54,10.0.2.2,55966
170,1521394922.81501,TCP,54,10.0.2.2,55968
171,1521394922.815064,TCP,54,10.0.2.2,55970
172,1521394922.815141,TCP,54,172.17.0.2,8080
173,1521394922.815145,HTTP,783,172.17.0.2,8080
174,1521394922.81526,TCP,54,10.0.2.2,55972
175,1521394922.82085,PNG,1392,10.0.2.2,55968
176,1521394922.821015,TCP,54,172.17.0.2,8080
177,1521394922.822303,PNG,3182,10.0.2.2,55966
178,1521394922.82259,TCP,54,172.17.0.2,8080
179,1521394922.822596,TCP,54,172.17.0.2,8080
180,1521394922.822598,TCP,54,172.17.0.2,8080
181,1521394922.823073,HTTP,783,172.17.0.2,8080
182,1521394922.824984,HTTP,783,172.17.0.2,8080
183,1521394922.835772,PNG,3603,10.0.2.2,55970
184,1521394922.836179,TCP,54,172.17.0.2,8080
185,1521394922.836186,TCP,54,172.17.0.2,8080
186,1521394922.836188,TCP,54,172.17.0.2,8080
187,1521394922.838202,HTTP,783,172.17.0.2,8080
188,1521394922.84807,TCP,54,10.0.2.2,55952
189,1521394922.863436,TCP,54,10.0.2.2,55968
190,1521394922.864318,TCP,54,10.0.2.2,55966
191,1521394922.875951,TCP,54,10.0.2.2,55970
192,1521394922.876248,PNG,1673,10.0.2.2,55972
193,1521394922.876408,TCP,54,172.17.0.2,8080
194,1521394922.876412,TCP,54,172.17.0.2,8080
195,1521394922.877706,PNG,4549,10.0.2.2,55952
196,1521394922.878051,TCP,54,172.17.0.2,8080
197,1521394922.878174,TCP,54,172.17.0.2,8080
198,1521394922.878177,TCP,54,172.17.0.2,8080
199,1521394922.878179,TCP,54,172.17.0.2,8080
200,1521394922.878182,HTTP,783,172.17.0.2,8080
201,1521394922.878224,TCP,54,10.0.2.2,55972
202,1521394922.880002,HTTP,783,172.17.0.2,8080
203,1521394922.880077,TCP,54,10.0.2.2,55952
204,1521394922.886321,PNG,1713,10.0.2.2,55952
205,1521394922.886627,TCP,54,172.17.0.2,8080
206,1521394922.886656,TCP,54,172.17.0.2,8080
207,1521394922.888104,HTTP,783,172.17.0.2,8080
208,1521394922.888792,PNG,1742,10.0.2.2,55968
209,1521394922.888969,TCP,54,172.17.0.2,8080
210,1521394922.888974,TCP,54,172.17.0.2,8080
211,1521394922.890844,HTTP,783,172.17.0.2,8080
212,1521394922.890889,TCP,54,10.0.2.2,55968
213,1521394922.899336,PNG,1701,10.0.2.2,55968
214,1521394922.900592,TCP,54,172.17.0.2,8080
215,1521394922.900609,TCP,54,172.17.0.2,8080
216,1521394922.902633,HTTP,783,172.17.0.2,8080
217,1521394922.906764,PNG,1635,10.0.2.2,55952
218,1521394922.907021,TCP,54,172.17.0.2,8080
219,1521394922.908712,HTTP,783,172.17.0.2,8080
220,1521394922.912347,PNG,1553,10.0.2.2,55966
221,1521394922.91253,TCP,54,172.17.0.2,8080
222,1521394922.912535,TCP,54,172.17.0.2,8080
223,1521394922.914611,HTTP,783,172.17.0.2,8080
224,1521394922.914665,TCP,54,10.0.2.2,55966
225,1521394922.921132,PNG,1702,10.0.2.2,55970
226,1521394922.921383,TCP,54,172.17.0.2,8080
227,1521394922.92139,TCP,54,172.17.0.2,8080
228,1521394922.923145,HTTP,783,172.17.0.2,8080
229,1521394922.923186,TCP,54,10.0.2.2,55970
230,1521394922.923502,PNG,1578,10.0.2.2,55972
231,1521394922.923661,TCP,54,172.17.0.2,8080
232,1521394922.923666,TCP,54,172.17.0.2,8080
233,1521394922.925232,HTTP,783,172.17.0.2,8080
