,timestamp,highest_layer,length,dest_ip,source_ip,dest_port,source_port
111,1521397348.100927,DNS,157,162.212.156.148,10.0.2.15,53,43917
112,1521397348.145498,DNS,266,10.0.2.15,162.212.156.148,43917,53
113,1521397348.145709,DNS,200,162.212.156.148,10.0.2.15,53,43917
114,1521397348.173869,DNS,224,10.0.2.15,162.212.156.148,43917,53
115,1521397348.174025,DNS,157,162.212.156.148,10.0.2.15,53,43917
116,1521397348.187541,DNS,546,10.0.2.15,162.212.156.148,43917,53
117,1521397348.187729,DNS,324,162.212.156.148,10.0.2.15,53,43917
118,1521397348.204008,DNS,162,10.0.2.15,162.212.156.148,43917,53
119,1521397348.204078,DNS,303,162.212.156.148,10.0.2.15,53,43917
120,1521397348.238939,DNS,329,10.0.2.15,162.212.156.148,43917,53
121,1521397348.239095,DNS,247,162.212.156.148,10.0.2.15,53,43917
122,1521397348.254338,DNS,371,10.0.2.15,162.212.156.148,43917,53
123,1521397348.254518,DNS,210,162.212.156.148,10.0.2.15,53,43917
124,1521397348.276263,DNS,629,10.0.2.15,162.212.156.148,43917,53
125,1521397348.278426,DNS,168,162.212.156.148,10.0.2.15,53,43917
126,1521397348.31237,DNS,215,10.0.2.15,162.212.156.148,43917,53
127,1521397348.331515,DNS,235,10.0.2.15,162.212.156.148,43917,53
128,1521397348.331614,DNS,88,162.212.156.148,10.0.2.15,53,43917
129,1521397348.331819,DNS,211,162.212.156.148,10.0.2.15,53,43917
130,1521397348.346535,DNS,155,10.0.2.15,162.212.156.148,43917,53
131,1521397348.349258,DNS,324,10.0.2.15,162.212.156.148,43917,53
132,1521397348.349331,DNS,88,162.212.156.148,10.0.2.15,53,43917
133,1521397348.349519,DNS,233,162.212.156.148,10.0.2.15,53,43917
134,1521397348.36505,DNS,210,10.0.2.15,162.212.156.148,43917,53
135,1521397348.365295,DNS,324,162.212.156.148,10.0.2.15,53,43917
136,1521397348.37897,DNS,238,10.0.2.15,162.212.156.148,43917,53
137,1521397348.379033,DNS,324,162.212.156.148,10.0.2.15,53,43917
138,1521397348.392901,DNS,329,10.0.2.15,162.212.156.148,43917,53
139,1521397348.392968,DNS,324,162.212.156.148,10.0.2.15,53,43917
140,1521397348.408111,DNS,329,10.0.2.15,162.212.156.148,43917,53
141,1521397348.408174,DNS,178,162.212.156.148,10.0.2.15,53,43917
142,1521397348.424489,DNS,986,10.0.2.15,162.212.156.148,43917,53
143,1521397348.431435,DNS,88,162.212.156.148,10.0.2.15,53,43917
144,1521397348.43756,DNS,324,162.212.156.148,10.0.2.15,53,43917
145,1521397348.445981,DNS,183,10.0.2.15,162.212.156.148,43917,53
146,1521397348.454357,DNS,93,10.0.2.15,162.212.156.148,43917,53
147,1521397348.454425,DNS,324,162.212.156.148,10.0.2.15,53,43917
148,1521397348.48102,DNS,329,10.0.2.15,162.212.156.148,43917,53
149,1521397348.481083,DNS,324,162.212.156.148,10.0.2.15,53,43917
150,1521397348.500267,DNS,329,10.0.2.15,162.212.156.148,43917,53
151,1521397348.500327,DNS,324,162.212.156.148,10.0.2.15,53,43917
152,1521397348.514024,DNS,329,10.0.2.15,162.212.156.148,43917,53
153,1521397348.514079,DNS,324,162.212.156.148,10.0.2.15,53,43917
154,1521397348.527507,DNS,329,10.0.2.15,162.212.156.148,43917,53
155,1521397348.527573,DNS,225,162.212.156.148,10.0.2.15,53,43917
156,1521397348.56213,DNS,329,10.0.2.15,162.212.156.148,43917,53
157,1521397348.562305,DNS,263,162.212.156.148,10.0.2.15,53,43917
158,1521397348.579156,DNS,293,10.0.2.15,162.212.156.148,43917,53
159,1521397348.584273,DNS,263,162.212.156.148,10.0.2.15,53,43917
160,1521397348.589322,DNS,330,10.0.2.15,162.212.156.148,43917,53
161,1521397348.589485,DNS,263,162.212.156.148,10.0.2.15,53,43917
162,1521397348.598097,DNS,360,10.0.2.15,162.212.156.148,43917,53
163,1521397348.603985,DNS,263,162.212.156.148,10.0.2.15,53,43917
164,1521397348.604122,DNS,338,10.0.2.15,162.212.156.148,43917,53
165,1521397348.604304,DNS,293,162.212.156.148,10.0.2.15,53,43917
166,1521397348.620448,DNS,268,10.0.2.15,162.212.156.148,43917,53
167,1521397348.620458,DNS,360,10.0.2.15,162.212.156.148,43917,53
168,1521397348.625642,DNS,88,162.212.156.148,10.0.2.15,53,43917
169,1521397348.716842,DNS,1104,10.0.2.15,162.212.156.148,43917,53
170,1521397348.726956,DNS,88,162.212.156.148,10.0.2.15,53,43917
171,1521397348.756997,DNS,157,162.212.156.148,10.0.2.15,53,43917
172,1521397348.770891,DNS,202,10.0.2.15,162.212.156.148,43917,53
173,1521397348.771047,DNS,157,162.212.156.148,10.0.2.15,53,43917
174,1521397348.805585,DNS,162,10.0.2.15,162.212.156.148,43917,53
175,1521397348.805748,DNS,324,162.212.156.148,10.0.2.15,53,43917
176,1521397348.831709,DNS,162,10.0.2.15,162.212.156.148,43917,53
177,1521397348.831778,DNS,231,162.212.156.148,10.0.2.15,53,43917
178,1521397348.849296,DNS,391,10.0.2.15,162.212.156.148,43917,53
179,1521397348.849307,DNS,373,10.0.2.15,162.212.156.148,43917,53
180,1521397348.849439,DNS,88,162.212.156.148,10.0.2.15,53,43917
181,1521397348.862818,DNS,193,10.0.2.15,162.212.156.148,43917,53
182,1521397348.863087,DNS,157,162.212.156.148,10.0.2.15,53,43917
183,1521397348.901016,DNS,162,10.0.2.15,162.212.156.148,43917,53
184,1521397348.901164,DNS,233,162.212.156.148,10.0.2.15,53,43917
185,1521397348.918188,DNS,338,10.0.2.15,162.212.156.148,43917,53
186,1521397348.920148,DNS,239,162.212.156.148,10.0.2.15,53,43917
187,1521397348.935589,DNS,344,10.0.2.15,162.212.156.148,43917,53
188,1521397348.936029,DNS,324,162.212.156.148,10.0.2.15,53,43917
189,1521397348.95142,DNS,329,10.0.2.15,162.212.156.148,43917,53
190,1521397348.951533,DNS,324,162.212.156.148,10.0.2.15,53,43917
191,1521397348.970483,DNS,329,10.0.2.15,162.212.156.148,43917,53
192,1521397348.970544,DNS,324,162.212.156.148,10.0.2.15,53,43917
193,1521397348.991912,DNS,329,10.0.2.15,162.212.156.148,43917,53
194,1521397348.991979,DNS,324,162.212.156.148,10.0.2.15,53,43917
195,1521397349.008918,DNS,329,10.0.2.15,162.212.156.148,43917,53
196,1521397349.009004,DNS,324,162.212.156.148,10.0.2.15,53,43917
197,1521397349.023698,DNS,329,10.0.2.15,162.212.156.148,43917,53
198,1521397349.023758,DNS,225,162.212.156.148,10.0.2.15,53,43917
199,1521397349.059817,DNS,230,10.0.2.15,162.212.156.148,43917,53
200,1521397349.060028,DNS,324,162.212.156.148,10.0.2.15,53,43917
201,1521397349.075101,DNS,329,10.0.2.15,162.212.156.148,43917,53
202,1521397349.075161,DNS,324,162.212.156.148,10.0.2.15,53,43917
203,1521397349.088734,DNS,391,10.0.2.15,162.212.156.148,43917,53
204,1521397349.088806,DNS,324,162.212.156.148,10.0.2.15,53,43917
205,1521397349.103154,DNS,329,10.0.2.15,162.212.156.148,43917,53
206,1521397349.103219,DNS,324,162.212.156.148,10.0.2.15,53,43917
207,1521397349.121036,DNS,329,10.0.2.15,162.212.156.148,43917,53
208,1521397349.121142,DNS,137,162.212.156.148,10.0.2.15,53,43917
209,1521397349.148294,DNS,204,10.0.2.15,162.212.156.148,43917,53
210,1521397349.148487,DNS,324,162.212.156.148,10.0.2.15,53,43917
211,1521397349.16257,DNS,429,10.0.2.15,162.212.156.148,43917,53
212,1521397349.162793,DNS,324,162.212.156.148,10.0.2.15,53,43917
213,1521397349.177685,DNS,329,10.0.2.15,162.212.156.148,43917,53
214,1521397349.177744,DNS,324,162.212.156.148,10.0.2.15,53,43917
215,1521397349.194071,DNS,329,10.0.2.15,162.212.156.148,43917,53
216,1521397349.194144,DNS,324,162.212.156.148,10.0.2.15,53,43917
217,1521397349.20915,DNS,329,10.0.2.15,162.212.156.148,43917,53
218,1521397349.209206,DNS,137,162.212.156.148,10.0.2.15,53,43917
219,1521397349.226241,DNS,214,10.0.2.15,162.212.156.148,43917,53
220,1521397349.226406,DNS,220,162.212.156.148,10.0.2.15,53,43917
221,1521397349.241056,DNS,287,10.0.2.15,162.212.156.148,43917,53
222,1521397349.246796,DNS,88,162.212.156.148,10.0.2.15,53,43917
223,1521397349.261469,DNS,194,10.0.2.15,162.212.156.148,43917,53
224,1521397349.26173,DNS,223,162.212.156.148,10.0.2.15,53,43917
225,1521397349.277689,DNS,328,10.0.2.15,162.212.156.148,43917,53
226,1521397349.279812,DNS,324,162.212.156.148,10.0.2.15,53,43917
227,1521397349.294876,DNS,329,10.0.2.15,162.212.156.148,43917,53
228,1521397349.294947,DNS,324,162.212.156.148,10.0.2.15,53,43917
229,1521397349.312111,DNS,329,10.0.2.15,162.212.156.148,43917,53
230,1521397349.312212,DNS,324,162.212.156.148,10.0.2.15,53,43917
231,1521397349.3263,DNS,329,10.0.2.15,162.212.156.148,43917,53
232,1521397349.326361,DNS,324,162.212.156.148,10.0.2.15,53,43917
233,1521397349.340842,DNS,329,10.0.2.15,162.212.156.148,43917,53
234,1521397349.340899,DNS,116,162.212.156.148,10.0.2.15,53,43917
235,1521397349.356012,DNS,221,10.0.2.15,162.212.156.148,43917,53
236,1521397349.356327,DNS,221,162.212.156.148,10.0.2.15,53,43917
237,1521397349.370574,DNS,327,10.0.2.15,162.212.156.148,43917,53
238,1521397349.37086,DNS,220,162.212.156.148,10.0.2.15,53,43917
239,1521397349.388091,DNS,325,10.0.2.15,162.212.156.148,43917,53
240,1521397349.390889,DNS,223,162.212.156.148,10.0.2.15,53,43917
241,1521397349.406486,DNS,328,10.0.2.15,162.212.156.148,43917,53
242,1521397349.406744,DNS,221,162.212.156.148,10.0.2.15,53,43917
243,1521397349.421722,DNS,326,10.0.2.15,162.212.156.148,43917,53
244,1521397349.422706,DNS,242,162.212.156.148,10.0.2.15,53,43917
245,1521397349.439535,DNS,348,10.0.2.15,162.212.156.148,43917,53
246,1521397349.440217,DNS,202,162.212.156.148,10.0.2.15,53,43917
247,1521397349.455734,DNS,307,10.0.2.15,162.212.156.148,43917,53
248,1521397349.456261,DNS,202,162.212.156.148,10.0.2.15,53,43917
249,1521397349.472757,DNS,306,10.0.2.15,162.212.156.148,43917,53
250,1521397349.47303,DNS,223,162.212.156.148,10.0.2.15,53,43917
251,1521397349.494351,DNS,328,10.0.2.15,162.212.156.148,43917,53
252,1521397349.495333,DNS,223,162.212.156.148,10.0.2.15,53,43917
253,1521397349.52186,DNS,328,10.0.2.15,162.212.156.148,43917,53
254,1521397349.522744,DNS,251,162.212.156.148,10.0.2.15,53,43917
255,1521397349.543693,DNS,356,10.0.2.15,162.212.156.148,43917,53
256,1521397349.543933,DNS,203,162.212.156.148,10.0.2.15,53,43917
257,1521397349.55814,DNS,308,10.0.2.15,162.212.156.148,43917,53
258,1521397349.558403,DNS,221,162.212.156.148,10.0.2.15,53,43917
259,1521397349.578479,DNS,327,10.0.2.15,162.212.156.148,43917,53
260,1521397349.578745,DNS,203,162.212.156.148,10.0.2.15,53,43917
261,1521397349.594127,DNS,308,10.0.2.15,162.212.156.148,43917,53
262,1521397349.594609,DNS,203,162.212.156.148,10.0.2.15,53,43917
263,1521397349.60863,DNS,309,10.0.2.15,162.212.156.148,43917,53
264,1521397349.608905,DNS,221,162.212.156.148,10.0.2.15,53,43917
265,1521397349.624752,DNS,327,10.0.2.15,162.212.156.148,43917,53
266,1521397349.625005,DNS,221,162.212.156.148,10.0.2.15,53,43917
267,1521397349.642346,DNS,326,10.0.2.15,162.212.156.148,43917,53
268,1521397349.644289,DNS,220,162.212.156.148,10.0.2.15,53,43917
269,1521397349.659836,DNS,325,10.0.2.15,162.212.156.148,43917,53
270,1521397349.660097,DNS,223,162.212.156.148,10.0.2.15,53,43917
271,1521397349.675497,DNS,328,10.0.2.15,162.212.156.148,43917,53
272,1521397349.675753,DNS,221,162.212.156.148,10.0.2.15,53,43917
273,1521397349.690306,DNS,326,10.0.2.15,162.212.156.148,43917,53
274,1521397349.69184,DNS,324,162.212.156.148,10.0.2.15,53,43917
275,1521397349.706745,DNS,329,10.0.2.15,162.212.156.148,43917,53
276,1521397349.706805,DNS,180,162.212.156.148,10.0.2.15,53,43917
277,1521397349.72073,DNS,286,10.0.2.15,162.212.156.148,43917,53
278,1521397349.720968,DNS,202,162.212.156.148,10.0.2.15,53,43917
279,1521397349.736062,DNS,307,10.0.2.15,162.212.156.148,43917,53
280,1521397349.736304,DNS,202,162.212.156.148,10.0.2.15,53,43917
281,1521397349.750372,DNS,307,10.0.2.15,162.212.156.148,43917,53
282,1521397349.7507,DNS,221,162.212.156.148,10.0.2.15,53,43917
283,1521397349.76505,DNS,326,10.0.2.15,162.212.156.148,43917,53
284,1521397349.76529,DNS,221,162.212.156.148,10.0.2.15,53,43917
285,1521397349.781155,DNS,326,10.0.2.15,162.212.156.148,43917,53
286,1521397349.783115,DNS,324,162.212.156.148,10.0.2.15,53,43917
287,1521397349.796609,DNS,329,10.0.2.15,162.212.156.148,43917,53
288,1521397349.79667,DNS,180,162.212.156.148,10.0.2.15,53,43917
289,1521397349.810568,DNS,286,10.0.2.15,162.212.156.148,43917,53
290,1521397349.811458,DNS,202,162.212.156.148,10.0.2.15,53,43917
291,1521397349.827899,DNS,307,10.0.2.15,162.212.156.148,43917,53
292,1521397349.828184,DNS,202,162.212.156.148,10.0.2.15,53,43917
293,1521397349.842451,DNS,307,10.0.2.15,162.212.156.148,43917,53
294,1521397349.842717,DNS,221,162.212.156.148,10.0.2.15,53,43917
295,1521397349.858069,DNS,326,10.0.2.15,162.212.156.148,43917,53
296,1521397349.860035,DNS,324,162.212.156.148,10.0.2.15,53,43917
297,1521397349.873912,DNS,329,10.0.2.15,162.212.156.148,43917,53
298,1521397349.874007,DNS,180,162.212.156.148,10.0.2.15,53,43917
299,1521397349.902385,DNS,285,10.0.2.15,162.212.156.148,43917,53
300,1521397349.902628,DNS,202,162.212.156.148,10.0.2.15,53,43917
301,1521397349.91968,DNS,307,10.0.2.15,162.212.156.148,43917,53
302,1521397349.919928,DNS,230,162.212.156.148,10.0.2.15,53,43917
303,1521397349.934776,DNS,335,10.0.2.15,162.212.156.148,43917,53
304,1521397349.936901,DNS,324,162.212.156.148,10.0.2.15,53,43917
305,1521397349.953778,DNS,329,10.0.2.15,162.212.156.148,43917,53
306,1521397349.953925,DNS,97,162.212.156.148,10.0.2.15,53,43917
307,1521397349.968622,DNS,202,10.0.2.15,162.212.156.148,43917,53
308,1521397349.968875,DNS,223,162.212.156.148,10.0.2.15,53,43917
309,1521397349.983845,DNS,328,10.0.2.15,162.212.156.148,43917,53
310,1521397349.98416,DNS,220,162.212.156.148,10.0.2.15,53,43917
311,1521397350.000293,DNS,325,10.0.2.15,162.212.156.148,43917,53
312,1521397350.00053,DNS,203,162.212.156.148,10.0.2.15,53,43917
313,1521397350.020639,DNS,308,10.0.2.15,162.212.156.148,43917,53
314,1521397350.020884,DNS,221,162.212.156.148,10.0.2.15,53,43917
315,1521397350.035644,DNS,326,10.0.2.15,162.212.156.148,43917,53
316,1521397350.035897,DNS,261,162.212.156.148,10.0.2.15,53,43917
